GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
catalogo-produto,horizonleap.catalogo.produto.service,ProdutoService,16,31,1,1,5,7,4,3,3,3
catalogo-produto,horizonleap.catalogo.produto.service,BatchService,20,3,0,0,6,1,2,1,2,1
catalogo-produto,horizonleap.catalogo.produto.model,ProdutoModel,28,40,0,0,12,16,4,9,4,9
catalogo-produto,horizonleap.catalogo.produto,CatalogoProdutoApplication,5,3,0,0,2,1,1,1,1,1
catalogo-produto,horizonleap.catalogo.produto.batch,ScheduledConfig,0,6,0,0,0,2,0,2,0,2
catalogo-produto,horizonleap.catalogo.produto.batch,ProdutoItemProcessor,2,3,0,0,1,1,1,1,1,1
catalogo-produto,horizonleap.catalogo.produto.batch,BatchConfig.new BeanWrapperFieldSetMapper() {...},0,9,0,0,0,3,0,1,0,1
catalogo-produto,horizonleap.catalogo.produto.batch,BatchConfig,0,84,0,0,0,24,0,6,0,6
catalogo-produto,horizonleap.catalogo.produto.controller,ProdutoController,34,84,0,0,13,17,2,7,2,7
